fecha;Jornada;equipo_local;equipo_visitante;goles_local;goles_visitante;Hora;url_partido
18/04/2026;Apertura 11;Sport Huancayo;Deportivo Garcilaso;2;1;No;https://www.sofascore.com/es-la/football/match/deportivo-garcilaso-sport-huancayo/VCnsJwId#id:15885657
18/04/2026;Apertura 11;Alianza Lima;Cusco;8;0;No;https://www.sofascore.com/es-la/football/match/cusco-fc-alianza-lima/lWskAA#id:15885652
17/04/2026;Apertura 11;Los Chankas;Atlético Grau;2;0;No;https://www.sofascore.com/es-la/football/match/club-atletico-grau-los-chankas-cyc/eVacsNanc#id:15885653
15/04/2026;Apertura 10;UTC;Sport Huancayo;2;2;No;https://www.sofascore.com/es-la/football/match/universidad-tecnica-de-cajamarca-sport-huancayo/VCnsehK#id:15881790
14/04/2026;Apertura 10;Moquegua;ADC Juan Pablo II;3;0;No;https://www.sofascore.com/es-la/football/match/adc-juan-pablo-ii-cd-moquegua/YgXdsgzee#id:15881918
14/04/2026;Apertura 10;ADT;Alianza Lima;0;1;No;https://www.sofascore.com/es-la/football/match/asociacion-deportiva-tarma-alianza-lima/lWshlJc#id:15881919
14/04/2026;Apertura 10;Sport Boys;Melgar;1;3;No;https://www.sofascore.com/es-la/football/match/sport-boys-melgar/iWsmW#id:15881791
6/04/2026;Apertura 9;Cajamarca;Los Chankas;0;1;No;https://www.sofascore.com/es-la/football/match/fc-cajamarca-los-chankas-cyc/eVacscPHi#id:15716009
5/04/2026;Apertura 9;ADC Juan Pablo II;UTC;2;1;No;https://www.sofascore.com/es-la/football/match/adc-juan-pablo-ii-universidad-tecnica-de-cajamarca/ehKsgzee#id:15716001
5/04/2026;Apertura 9;Sport Huancayo;Comerciantes Unidos;1;1;No;https://www.sofascore.com/es-la/football/match/comerciantes-unidos-sport-huancayo/VCnsjxKb#id:15714351
4/04/2026;Apertura 9;Melgar;Cusco;1;3;No;https://www.sofascore.com/es-la/football/match/cusco-fc-melgar/iWskAA#id:15714348
4/04/2026;Apertura 9;Universitario;Alianza Lima;1;0;No;https://www.sofascore.com/es-la/football/match/alianza-lima-universitario-de-deportes/fWslW#id:15714337
4/04/2026;Apertura 9;Deportivo Garcilaso;Sport Boys;3;2;No;https://www.sofascore.com/es-la/football/match/deportivo-garcilaso-sport-boys/mWsJwId#id:15714349
3/04/2026;Apertura 9;Sporting Cristal;Moquegua;1;2;No;https://www.sofascore.com/es-la/football/match/cd-moquegua-club-sporting-cristal/cWsYgXd#id:15714336
3/04/2026;Apertura 9;Alianza Atlético;Atlético Grau;2;2;No;https://www.sofascore.com/es-la/football/match/club-atletico-grau-alianza-atletico-de-sullana/hWsNanc#id:15714347
3/04/2026;Apertura 9;Cienciano;ADT;3;2;No;https://www.sofascore.com/es-la/football/match/asociacion-deportiva-tarma-cienciano/bWshlJc#id:15714346
22/03/2026;Apertura 8;UTC;Alianza Atlético;1;1;No;https://www.sofascore.com/es-la/football/match/universidad-tecnica-de-cajamarca-alianza-atletico-de-sullana/hWsehK#id:15655439
22/03/2026;Apertura 8;Atlético Grau;Deportivo Garcilaso;0;0;No;https://www.sofascore.com/es-la/football/match/deportivo-garcilaso-club-atletico-grau/NancsJwId#id:15655435
22/03/2026;Apertura 8;Sport Boys;Sport Huancayo;3;0;No;https://www.sofascore.com/es-la/football/match/sport-huancayo-sport-boys/mWsVCn#id:15655434
21/03/2026;Apertura 8;Alianza Lima;ADC Juan Pablo II;2;0;No;https://www.sofascore.com/es-la/football/match/adc-juan-pablo-ii-alianza-lima/lWsgzee#id:15655438
21/03/2026;Apertura 8;Los Chankas;Sporting Cristal;3;2;No;https://www.sofascore.com/es-la/football/match/los-chankas-cyc-club-sporting-cristal/cWseVac#id:15655437
21/03/2026;Apertura 8;Moquegua;Cusco;1;2;No;https://www.sofascore.com/es-la/football/match/cd-moquegua-cusco-fc/kAAsYgXd#id:15655692
