fecha;equipo_local;equipo_visitante;goles_local;goles_visitante;url_partido;Posesión de pelota_local;Posesión de pelota_visitante;Goles esperados (xG)_local;Goles esperados (xG)_visitante;Tiros totales_local;Tiros totales_visitante;Tiros a puerta_local;Tiros a puerta_visitante;Disparos al palo_local;Disparos al palo_visitante;Tiros fuera_local;Tiros fuera_visitante;Tiros bloqueados_local;Tiros bloqueados_visitante;Tiros adentro del area_local;Tiros adentro del area_visitante;Tiros desde fuera del area_local;Tiros desde fuera del area_visitante;Fueras de juego_local;Fueras de juego_visitante;Pases_local;Pases_visitante;Pases precisos_local;Pases precisos_visitante;Saques de banda_local;Saques de banda_visitante;Pases al ultimo tercio_local;Pases al ultimo tercio_visitante;Pases en ultimo tercio_local;Pases en ultimo tercio_visitante;Entradas_local;Entradas_visitante;Intercepciones_local;Intercepciones_visitante;Recuperaciones_local;Recuperaciones_visitante;Despejes_local;Despejes_visitante;Corners_local;Corners_visitante;Faltas_local;Faltas_visitante;Tiros libres_local;Tiros libres_visitante;Tarjetas amarillas_local;Tarjetas amarillas_visitante;Tarjetas rojas_local;Tarjetas rojas_visitante;Atajadas_local;Atajadas_visitante;Saques de meta_local;Saques de meta_visitante
20/07/2024;Melgar;César Vallejo;5;2;https://www.sofascore.com/es-la/football/match/universidad-cesar-vallejo-melgar/iWsGfc#id:12489634;0.54;0.46;3.53;0.32;19;6;10;3;0;1;7;3;2;0;14;3;5;3;3;1;310;266;239;182;18;28;46;47;49/76;24/62;12;10;9;7;48;39;16;17;7;5;6;10;9;6;0;2;0;0;1;5;4;10
20/07/2024;Alianza Lima;Alianza Atlético;2;0;https://www.sofascore.com/es-la/football/match/alianza-lima-alianza-atletico-de-sullana/hWslW#id:12489642;0.6;0.4;1.73;0.25;10;6;2;2;0;0;6;2;2;2;6;3;4;3;3;2;424;286;339;207;14;19;62;56;66/108;41/80;9;12;8;13;52;42;18;18;4;5;13;14;13;11;3;1;0;0;2;0;8;9
19/07/2024;UTC;Cusco;2;1;https://www.sofascore.com/es-la/football/match/universidad-tecnica-de-cajamarca-cusco-fc/kAAsehK#id:12489635;0.32;0.68;1.65;1.63;14;14;5;5;1;1;6;8;3;1;7;10;7;4;1;0;232;512;155;415;20;25;66;69;45/93;79/127;7;10;9;4;39;29;21;15;5;7;18;6;5;16;3;2;0;0;4;3;15;14
19/07/2024;Sport Huancayo;Deportivo Garcilaso;1;0;https://www.sofascore.com/es-la/football/match/deportivo-garcilaso-sport-huancayo/VCnsJwId#id:12489647;0.6;0.4;1.25;1.43;13;12;7;5;0;0;3;5;3;2;8;10;5;2;1;2;392;254;322;184;24;23;72;67;95/134;47/98;14;16;4;8;41;40;20;12;1;6;18;18;18;16;1;5;0;1;5;6;10;8
14/07/2024;Alianza Atlético;Atlético Grau;0;0;https://www.sofascore.com/es-la/football/match/club-atletico-grau-alianza-atletico-de-sullana/hWsNanc#id:12473140;0.57;0.43;0.72;0.49;13;7;2;4;0;0;5;0;6;3;11;2;2;5;1;5;330;253;244;175;17;19;46;41;57/90;43/75;5;10;2;1;47;48;16;24;3;3;13;14;13;13;2;1;1;1;3;2;2;7
14/07/2024;Sport Boys;Sport Huancayo;2;1;https://www.sofascore.com/es-la/football/match/sport-huancayo-sport-boys/mWsVCn#id:12473135;0.56;0.44;2.33;0.52;29;5;9;1;0;0;16;3;4;1;22;3;7;2;0;2;380;301;308;217;15;16;65;43;76/115;46/74;29;14;8;12;39;39;20;28;10;5;12;17;16;11;2;3;0;0;0;7;5;17
14/07/2024;Cusco;Melgar;0;3;https://www.sofascore.com/es-la/football/match/cusco-fc-melgar/iWskAA#id:12473129;0.64;0.36;0.54;1.11;12;14;2;7;0;0;4;5;6;2;7;8;5;6;0;0;490;290;425;236;24;14;60;43;63/102;56/82;9;19;4;11;42;42;2;13;3;2;7;17;17;7;1;1;0;0;3;2;8;13
13/07/2024;Comerciantes Unidos;Cienciano;1;2;https://www.sofascore.com/es-la/football/match/comerciantes-unidos-cienciano/bWsjxKb#id:12473136;0.54;0.46;1.21;1.4;16;13;3;4;1;0;10;5;3;4;10;8;6;5;1;3;272;242;215;182;21;16;43;54;57/81;53/91;8;13;6;6;32;34;17;32;9;6;19;15;14;19;3;1;0;0;2;2;9;10
13/07/2024;César Vallejo;Alianza Lima;2;3;https://www.sofascore.com/es-la/football/match/universidad-cesar-vallejo-alianza-lima/lWsGfc#id:12473138;0.51;0.49;0.35;2.76;5;14;2;6;0;1;2;8;1;0;2;9;3;5;0;1;366;353;297;270;20;17;39;65;48/70;62/105;16;21;4;4;41;40;30;11;3;2;14;17;16;14;2;1;0;0;3;0;11;6
13/07/2024;Universitario;Mannucci;6;0;https://www.sofascore.com/es-la/football/match/carlos-mannucci-universitario/fWsVUac#id:12473139;0.63;0.37;3.64;0.25;31;9;10;2;1;0;10;2;11;5;23;2;8;7;2;0;510;295;436;218;28;15;70;41;152/199;31/53;18;12;8;13;56;41;16;35;5;3;12;8;6;11;0;2;0;0;2;4;2;14
